Timestamp,Datei,Shot,Von,Nach,Delta
2025-04-18T01:57:45.807063Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035745_ac5e.json,4,4,2,2
2025-04-18T01:57:45.811070Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035745_ac5e.json,7,0,4,4
2025-04-18T01:57:45.812070Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035745_ac5e.json,8,4,0,4
2025-04-18T01:57:45.814070Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035745_ac5e.json,9,0,3,3
2025-04-18T01:57:45.815575Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035745_ac5e.json,10,3,1,2
2025-04-18T01:57:45.838501Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035745_ee54.json,4,1,3,2
2025-04-18T01:57:45.841885Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035745_ee54.json,7,1,3,2
2025-04-18T01:57:45.843896Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035745_ee54.json,8,3,1,2
2025-04-18T01:57:45.852367Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035745_ee54.json,14,1,3,2
2025-04-18T01:57:45.866576Z,quantum_log_Cortex Creativus_act_nq4_20250418035745_8dd3.json,1,4,2,2
2025-04-18T01:57:45.884181Z,quantum_log_Cortex Creativus_act_nq4_20250418035745_8dd3.json,12,2,4,2
2025-04-18T01:57:45.887254Z,quantum_log_Cortex Creativus_act_nq4_20250418035745_8dd3.json,13,4,1,3
2025-04-18T01:57:45.900630Z,quantum_log_Simulatrix Neuralis_act_nq4_20250418035745_1a6a.json,1,3,1,2
2025-04-18T01:57:45.914107Z,quantum_log_Simulatrix Neuralis_act_nq4_20250418035745_1a6a.json,10,4,2,2
2025-04-18T01:57:45.918654Z,quantum_log_Simulatrix Neuralis_act_nq4_20250418035745_1a6a.json,13,2,0,2
2025-04-18T01:57:45.919750Z,quantum_log_Simulatrix Neuralis_act_nq4_20250418035745_1a6a.json,14,0,2,2
2025-04-18T01:57:45.936997Z,quantum_log_Cortex Criticus_act_nq4_20250418035745_cd06.json,4,3,1,2
2025-04-18T01:57:45.939464Z,quantum_log_Cortex Criticus_act_nq4_20250418035745_cd06.json,6,1,3,2
2025-04-18T01:57:45.943464Z,quantum_log_Cortex Criticus_act_nq4_20250418035745_cd06.json,9,3,1,2
2025-04-18T01:57:45.945838Z,quantum_log_Cortex Criticus_act_nq4_20250418035745_cd06.json,10,1,4,3
2025-04-18T01:57:45.946351Z,quantum_log_Cortex Criticus_act_nq4_20250418035745_cd06.json,11,4,2,2
2025-04-18T01:57:45.951408Z,quantum_log_Cortex Criticus_act_nq4_20250418035745_cd06.json,14,3,1,2
2025-04-18T01:57:45.966422Z,quantum_log_Limbus Affektus_act_nq4_20250418035745_e3f3.json,3,1,3,2
2025-04-18T01:57:45.971709Z,quantum_log_Limbus Affektus_act_nq4_20250418035745_e3f3.json,6,2,0,2
2025-04-18T01:57:45.977508Z,quantum_log_Limbus Affektus_act_nq4_20250418035745_e3f3.json,10,1,3,2
2025-04-18T01:57:45.980518Z,quantum_log_Limbus Affektus_act_nq4_20250418035745_e3f3.json,12,3,1,2
2025-04-18T01:57:45.999445Z,quantum_log_Meta Cognitio_act_nq4_20250418035745_f13d.json,4,1,3,2
2025-04-18T01:57:46.002451Z,quantum_log_Meta Cognitio_act_nq4_20250418035745_f13d.json,6,3,1,2
2025-04-18T01:57:46.007588Z,quantum_log_Meta Cognitio_act_nq4_20250418035745_f13d.json,10,4,2,2
2025-04-18T01:57:46.039254Z,quantum_log_Cortex Socialis_act_nq4_20250418035746_1e54.json,8,3,1,2
2025-04-18T01:57:46.044398Z,quantum_log_Cortex Socialis_act_nq4_20250418035746_1e54.json,12,0,2,2
2025-04-18T01:57:46.073440Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_ff20.json,2,3,1,2
2025-04-18T01:57:46.085488Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_ff20.json,10,2,4,2
2025-04-18T01:57:46.087725Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_ff20.json,11,4,0,4
2025-04-18T01:57:46.088740Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_ff20.json,12,0,3,3
2025-04-18T01:57:46.091740Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_ff20.json,14,3,1,2
2025-04-18T01:57:46.105519Z,quantum_log_Ethik und Moral_act_nq4_20250418035746_7ac7.json,1,4,2,2
2025-04-18T01:57:46.107643Z,quantum_log_Ethik und Moral_act_nq4_20250418035746_7ac7.json,3,1,4,3
2025-04-18T01:57:46.109051Z,quantum_log_Ethik und Moral_act_nq4_20250418035746_7ac7.json,4,4,1,3
2025-04-18T01:57:46.117888Z,quantum_log_Ethik und Moral_act_nq4_20250418035746_7ac7.json,9,0,3,3
2025-04-18T01:57:46.140673Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_2177.json,3,1,3,2
2025-04-18T01:57:46.144152Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_2177.json,6,3,1,2
2025-04-18T01:57:46.151705Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_2177.json,10,1,3,2
2025-04-18T01:57:46.154703Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_2177.json,12,2,0,2
2025-04-18T01:57:46.155704Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_2177.json,13,0,3,3
2025-04-18T01:57:46.171976Z,quantum_log_Governance und Politik_act_nq4_20250418035746_a247.json,2,2,0,2
2025-04-18T01:57:46.172976Z,quantum_log_Governance und Politik_act_nq4_20250418035746_a247.json,3,0,3,3
2025-04-18T01:57:46.176998Z,quantum_log_Governance und Politik_act_nq4_20250418035746_a247.json,5,3,1,2
2025-04-18T01:57:46.187134Z,quantum_log_Governance und Politik_act_nq4_20250418035746_a247.json,12,2,4,2
2025-04-18T01:57:46.189040Z,quantum_log_Governance und Politik_act_nq4_20250418035746_a247.json,14,3,0,3
2025-04-18T01:57:46.203501Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,1,2,4,2
2025-04-18T01:57:46.206580Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,3,4,0,4
2025-04-18T01:57:46.208161Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,4,0,3,3
2025-04-18T01:57:46.210513Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,6,2,0,2
2025-04-18T01:57:46.213050Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,7,0,3,3
2025-04-18T01:57:46.214054Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,8,3,0,3
2025-04-18T01:57:46.216581Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,10,1,3,2
2025-04-18T01:57:46.219844Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,12,2,0,2
2025-04-18T01:57:46.220854Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_c894.json,13,0,2,2
2025-04-18T01:57:46.235539Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,1,2,4,2
2025-04-18T01:57:46.239103Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,3,4,2,2
2025-04-18T01:57:46.241101Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,4,2,0,2
2025-04-18T01:57:46.242537Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,5,0,3,3
2025-04-18T01:57:46.244043Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,6,3,1,2
2025-04-18T01:57:46.246713Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,8,1,4,3
2025-04-18T01:57:46.249287Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,10,3,0,3
2025-04-18T01:57:46.250296Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,11,0,4,4
2025-04-18T01:57:46.253574Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_41c5.json,13,3,1,2
2025-04-18T01:57:46.275485Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_c4f1.json,6,1,4,3
2025-04-18T01:57:46.277526Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_c4f1.json,8,3,1,2
2025-04-18T01:57:46.280038Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_c4f1.json,9,1,3,2
2025-04-18T01:57:46.283035Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_c4f1.json,11,2,0,2
2025-04-18T01:57:46.284175Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_c4f1.json,12,0,4,4
2025-04-18T01:57:46.287541Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_c4f1.json,14,4,0,4
2025-04-18T01:57:46.302849Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_05f0.json,2,3,1,2
2025-04-18T01:57:46.306944Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_05f0.json,4,2,4,2
2025-04-18T01:57:46.307969Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_05f0.json,5,4,0,4
2025-04-18T01:57:46.311329Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_05f0.json,7,0,3,3
2025-04-18T01:57:46.317684Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_05f0.json,10,3,1,2
2025-04-18T01:57:46.320370Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_05f0.json,12,1,3,2
2025-04-18T01:57:46.337470Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_2b98.json,1,3,1,2
2025-04-18T01:57:46.338470Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_2b98.json,2,1,3,2
2025-04-18T01:57:46.343985Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_2b98.json,6,4,2,2
2025-04-18T01:57:46.350527Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_2b98.json,10,1,3,2
2025-04-18T01:57:46.353537Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_2b98.json,12,4,2,2
2025-04-18T01:57:46.433868Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_b287.json,3,3,1,2
2025-04-18T01:57:46.436504Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_b287.json,4,1,3,2
2025-04-18T01:57:46.438911Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_b287.json,6,3,1,2
2025-04-18T01:57:46.449517Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_b287.json,12,2,4,2
2025-04-18T01:57:46.451527Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_b287.json,13,4,1,3
2025-04-18T01:57:46.452680Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_b287.json,14,1,3,2
2025-04-18T01:57:46.466399Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_167f.json,2,3,0,3
2025-04-18T01:57:46.467918Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_167f.json,3,0,3,3
2025-04-18T01:57:46.476592Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_167f.json,9,1,3,2
2025-04-18T01:57:46.479704Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_167f.json,11,3,0,3
2025-04-18T01:57:46.480704Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_167f.json,12,0,3,3
2025-04-18T01:57:46.484310Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_167f.json,14,3,1,2
2025-04-18T01:57:46.502711Z,quantum_log_Cortex Socialis_act_nq4_20250418035746_e2b1.json,5,3,1,2
2025-04-18T01:57:46.503710Z,quantum_log_Cortex Socialis_act_nq4_20250418035746_e2b1.json,6,1,3,2
2025-04-18T01:57:46.507515Z,quantum_log_Cortex Socialis_act_nq4_20250418035746_e2b1.json,8,3,1,2
2025-04-18T01:57:46.516247Z,quantum_log_Cortex Socialis_act_nq4_20250418035746_e2b1.json,14,3,1,2
2025-04-18T01:57:46.543618Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_3e3b.json,8,2,4,2
2025-04-18T01:57:46.544655Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_3e3b.json,9,4,0,4
2025-04-18T01:57:46.545663Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_3e3b.json,10,0,2,2
2025-04-18T01:57:46.549699Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_3e3b.json,13,2,0,2
2025-04-18T01:57:46.551701Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_3e3b.json,14,0,3,3
2025-04-18T01:57:46.574653Z,quantum_log_Ethik und Moral_act_nq4_20250418035746_bc6f.json,8,3,1,2
2025-04-18T01:57:46.597422Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_ec5e.json,2,1,4,3
2025-04-18T01:57:46.598844Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_ec5e.json,3,4,1,3
2025-04-18T01:57:46.600858Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_ec5e.json,4,1,3,2
2025-04-18T01:57:46.606721Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_ec5e.json,8,3,1,2
2025-04-18T01:57:46.608967Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_ec5e.json,10,1,3,2
2025-04-18T01:57:46.610966Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_ec5e.json,11,3,0,3
2025-04-18T01:57:46.611966Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035746_ec5e.json,12,0,3,3
2025-04-18T01:57:46.626907Z,quantum_log_Governance und Politik_act_nq4_20250418035746_2331.json,1,1,4,3
2025-04-18T01:57:46.628926Z,quantum_log_Governance und Politik_act_nq4_20250418035746_2331.json,2,4,2,2
2025-04-18T01:57:46.633195Z,quantum_log_Governance und Politik_act_nq4_20250418035746_2331.json,5,3,1,2
2025-04-18T01:57:46.647162Z,quantum_log_Governance und Politik_act_nq4_20250418035746_2331.json,14,3,0,3
2025-04-18T01:57:46.664214Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_17eb.json,5,2,4,2
2025-04-18T01:57:46.668349Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_17eb.json,7,3,1,2
2025-04-18T01:57:46.672860Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_17eb.json,10,2,0,2
2025-04-18T01:57:46.675482Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_17eb.json,12,1,3,2
2025-04-18T01:57:46.677722Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_17eb.json,13,3,0,3
2025-04-18T01:57:46.678730Z,quantum_log_Synergien und Integration_act_nq4_20250418035746_17eb.json,14,0,2,2
2025-04-18T01:57:46.690530Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,1,3,1,2
2025-04-18T01:57:46.692035Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,2,1,3,2
2025-04-18T01:57:46.699786Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,7,2,0,2
2025-04-18T01:57:46.700787Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,8,0,2,2
2025-04-18T01:57:46.703788Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,10,3,1,2
2025-04-18T01:57:46.705296Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,11,1,4,3
2025-04-18T01:57:46.706779Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,12,4,1,3
2025-04-18T01:57:46.709448Z,quantum_log_Technologie und Innovation_act_nq4_20250418035746_09e2.json,14,1,4,3
2025-04-18T01:57:46.722534Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_0e10.json,2,1,3,2
2025-04-18T01:57:46.724042Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_0e10.json,3,3,1,2
2025-04-18T01:57:46.726592Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_0e10.json,4,1,3,2
2025-04-18T01:57:46.727793Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_0e10.json,5,3,1,2
2025-04-18T01:57:46.729801Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_0e10.json,6,1,3,2
2025-04-18T01:57:46.742811Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035746_0e10.json,13,1,3,2
2025-04-18T01:57:46.756381Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_7b74.json,1,3,1,2
2025-04-18T01:57:46.757526Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_7b74.json,2,1,3,2
2025-04-18T01:57:46.760535Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_7b74.json,4,3,0,3
2025-04-18T01:57:46.761535Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_7b74.json,5,0,3,3
2025-04-18T01:57:46.764636Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_7b74.json,7,2,0,2
2025-04-18T01:57:46.768096Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_7b74.json,9,0,3,3
2025-04-18T01:57:46.775893Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035746_7b74.json,14,2,0,2
2025-04-18T01:57:46.794123Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_6ab6.json,5,2,0,2
2025-04-18T01:57:46.797143Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_6ab6.json,8,0,2,2
2025-04-18T01:57:46.801659Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_6ab6.json,10,3,1,2
2025-04-18T01:57:46.805689Z,quantum_log_Cortex Creativus_act_nq4_20250418035746_6ab6.json,13,3,1,2
2025-04-18T01:57:46.866558Z,quantum_log_Cortex Criticus_act_nq4_20250418035746_48f2.json,12,1,3,2
2025-04-18T01:57:46.894413Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_0a8d.json,9,2,4,2
2025-04-18T01:57:46.896459Z,quantum_log_Limbus Affektus_act_nq4_20250418035746_0a8d.json,10,4,2,2
2025-04-18T01:57:46.916976Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_d5c1.json,2,1,3,2
2025-04-18T01:57:46.918985Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_d5c1.json,3,3,0,3
2025-04-18T01:57:46.919984Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_d5c1.json,4,0,2,2
2025-04-18T01:57:46.931011Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_d5c1.json,11,1,4,3
2025-04-18T01:57:46.932011Z,quantum_log_Meta Cognitio_act_nq4_20250418035746_d5c1.json,12,4,1,3
2025-04-18T01:57:46.986270Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_7489.json,1,4,0,4
2025-04-18T01:57:46.987482Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_7489.json,2,0,2,2
2025-04-18T01:57:47.004343Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_7489.json,13,2,4,2
2025-04-18T01:57:47.005847Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035746_7489.json,14,4,1,3
2025-04-18T01:57:47.017918Z,quantum_log_Ethik und Moral_act_nq4_20250418035747_b772.json,1,1,3,2
2025-04-18T01:57:47.024433Z,quantum_log_Ethik und Moral_act_nq4_20250418035747_b772.json,5,1,3,2
2025-04-18T01:57:47.028471Z,quantum_log_Ethik und Moral_act_nq4_20250418035747_b772.json,8,2,4,2
2025-04-18T01:57:47.063901Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035747_33af.json,10,1,3,2
2025-04-18T01:57:47.065409Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035747_33af.json,11,3,1,2
2025-04-18T01:57:47.068528Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035747_33af.json,13,2,0,2
2025-04-18T01:57:47.069529Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035747_33af.json,14,0,2,2
2025-04-18T01:57:47.082527Z,quantum_log_Governance und Politik_act_nq4_20250418035747_de3f.json,1,0,3,3
2025-04-18T01:57:47.083527Z,quantum_log_Governance und Politik_act_nq4_20250418035747_de3f.json,2,3,1,2
2025-04-18T01:57:47.086248Z,quantum_log_Governance und Politik_act_nq4_20250418035747_de3f.json,3,1,3,2
2025-04-18T01:57:47.093795Z,quantum_log_Governance und Politik_act_nq4_20250418035747_de3f.json,8,3,1,2
2025-04-18T01:57:47.097934Z,quantum_log_Governance und Politik_act_nq4_20250418035747_de3f.json,11,1,3,2
2025-04-18T01:57:47.100935Z,quantum_log_Governance und Politik_act_nq4_20250418035747_de3f.json,13,4,1,3
2025-04-18T01:57:47.103138Z,quantum_log_Governance und Politik_act_nq4_20250418035747_de3f.json,14,1,3,2
2025-04-18T01:57:47.119144Z,quantum_log_Synergien und Integration_act_nq4_20250418035747_4c88.json,3,2,4,2
2025-04-18T01:57:47.123310Z,quantum_log_Synergien und Integration_act_nq4_20250418035747_4c88.json,6,4,2,2
2025-04-18T01:57:47.152524Z,quantum_log_Technologie und Innovation_act_nq4_20250418035747_bb8d.json,3,3,1,2
2025-04-18T01:57:47.154524Z,quantum_log_Technologie und Innovation_act_nq4_20250418035747_bb8d.json,4,1,3,2
2025-04-18T01:57:47.162476Z,quantum_log_Technologie und Innovation_act_nq4_20250418035747_bb8d.json,8,2,4,2
2025-04-18T01:57:47.167540Z,quantum_log_Technologie und Innovation_act_nq4_20250418035747_bb8d.json,11,4,0,4
2025-04-18T01:57:47.171029Z,quantum_log_Technologie und Innovation_act_nq4_20250418035747_bb8d.json,13,0,2,2
2025-04-18T01:57:47.184329Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,1,0,2,2
2025-04-18T01:57:47.188466Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,3,2,0,2
2025-04-18T01:57:47.191465Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,5,1,3,2
2025-04-18T01:57:47.193466Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,7,4,2,2
2025-04-18T01:57:47.195514Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,8,2,0,2
2025-04-18T01:57:47.196946Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,9,0,2,2
2025-04-18T01:57:47.200549Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,12,3,0,3
2025-04-18T01:57:47.202550Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,13,0,2,2
2025-04-18T01:57:47.204057Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035747_ee49.json,14,2,0,2
2025-04-18T01:57:47.216620Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035747_f43d.json,1,3,1,2
2025-04-18T01:57:47.223134Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035747_f43d.json,5,2,0,2
2025-04-18T01:57:47.224134Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035747_f43d.json,6,0,2,2
2025-04-18T01:57:47.230664Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035747_f43d.json,10,2,0,2
2025-04-18T01:57:47.231664Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035747_f43d.json,11,0,2,2
2025-04-18T01:57:47.234861Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035747_f43d.json,13,3,1,2
2025-04-18T01:57:47.236986Z,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035747_f43d.json,14,1,4,3
2025-04-18T01:57:47.261266Z,quantum_log_Cortex Creativus_act_nq4_20250418035747_c1b0.json,9,1,3,2
2025-04-18T01:57:47.262266Z,quantum_log_Cortex Creativus_act_nq4_20250418035747_c1b0.json,10,3,1,2
