Datei,Shot,Von,Nach,Delta
quantum_log_Governance und Politik_act_nq4_20250418035752_65da.json,10,4,1,3
quantum_log_Governance und Politik_act_nq4_20250418035752_65da.json,11,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_d816.json,1,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_d816.json,7,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_d816.json,8,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_d816.json,10,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_d816.json,12,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_d816.json,13,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_d816.json,14,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035752_5ebb.json,3,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035752_5ebb.json,5,2,0,2
quantum_log_Technologie und Innovation_act_nq4_20250418035752_5ebb.json,6,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035752_5ebb.json,10,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,3,2,0,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,5,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,6,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,7,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,10,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,11,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,12,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_d5e1.json,13,4,1,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035752_49cb.json,1,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035752_49cb.json,7,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035752_49cb.json,8,4,1,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035752_49cb.json,14,3,0,3
quantum_log_Cortex Creativus_act_nq4_20250418035752_4d7d.json,3,1,4,3
quantum_log_Cortex Creativus_act_nq4_20250418035752_4d7d.json,4,4,2,2
quantum_log_Cortex Creativus_act_nq4_20250418035752_4d7d.json,7,1,3,2
quantum_log_Cortex Criticus_act_nq4_20250418035752_f8ca.json,6,1,3,2
quantum_log_Cortex Criticus_act_nq4_20250418035752_f8ca.json,7,3,0,3
quantum_log_Limbus Affektus_act_nq4_20250418035752_2ea1.json,1,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035752_2ea1.json,4,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035752_2ea1.json,6,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035752_2ea1.json,7,4,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_993c.json,1,2,4,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_993c.json,2,4,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_993c.json,4,2,4,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_993c.json,8,4,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_993c.json,11,0,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_993c.json,13,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035752_c446.json,8,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035752_c446.json,10,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_3cb6.json,2,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_3cb6.json,3,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_3cb6.json,5,2,4,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_3cb6.json,7,4,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_3cb6.json,9,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_7a2f.json,1,3,0,3
quantum_log_Ethik und Moral_act_nq4_20250418035752_7a2f.json,3,1,4,3
quantum_log_Ethik und Moral_act_nq4_20250418035752_7a2f.json,4,4,1,3
quantum_log_Ethik und Moral_act_nq4_20250418035752_7a2f.json,5,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_7a2f.json,6,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_7a2f.json,7,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_4b3e.json,3,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_4b3e.json,4,3,1,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_4b3e.json,7,3,1,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_4b3e.json,10,2,4,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_4b3e.json,11,4,1,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_4b3e.json,14,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035752_9339.json,4,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035752_9339.json,5,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035752_9339.json,7,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035752_9339.json,9,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035752_9339.json,10,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_7d16.json,2,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035752_7d16.json,3,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035752_7d16.json,8,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035752_995d.json,1,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035752_995d.json,2,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035752_995d.json,6,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035752_995d.json,7,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035752_995d.json,8,2,4,2
quantum_log_Technologie und Innovation_act_nq4_20250418035752_995d.json,13,0,4,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035752_5fad.json,9,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035752_55df.json,8,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035752_55df.json,11,4,1,3
quantum_log_Cortex Creativus_act_nq4_20250418035752_076a.json,2,2,0,2
quantum_log_Cortex Creativus_act_nq4_20250418035752_076a.json,3,0,3,3
quantum_log_Cortex Creativus_act_nq4_20250418035752_076a.json,9,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035752_076a.json,10,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035752_076a.json,13,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_e547.json,4,1,3,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_e547.json,5,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_076d.json,5,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_076d.json,10,2,4,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_076d.json,11,4,1,3
quantum_log_Cortex Criticus_act_nq4_20250418035753_076d.json,12,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035753_07ae.json,8,4,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035753_07ae.json,12,3,0,3
quantum_log_Limbus Affektus_act_nq4_20250418035753_07ae.json,13,0,3,3
quantum_log_Limbus Affektus_act_nq4_20250418035753_07ae.json,14,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035753_6ee8.json,2,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035753_6ee8.json,8,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035753_d9f9.json,1,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035753_d9f9.json,4,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_cf3f.json,5,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_cf3f.json,6,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_cf3f.json,9,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035753_0819.json,12,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035753_0819.json,13,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035753_0819.json,14,3,1,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_3f60.json,9,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_3f60.json,14,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,1,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,2,1,4,3
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,3,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,4,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,5,0,2,2
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,7,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,9,0,2,2
quantum_log_Governance und Politik_act_nq4_20250418035753_985d.json,12,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,1,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,2,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,3,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,5,2,4,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,6,4,0,4
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,7,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,8,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,9,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,11,3,0,3
quantum_log_Synergien und Integration_act_nq4_20250418035753_57c8.json,12,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035753_62f3.json,1,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035753_62f3.json,2,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035753_62f3.json,7,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035753_62f3.json,9,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035753_62f3.json,10,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035753_62f3.json,11,0,4,4
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_cc49.json,1,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_cc49.json,2,2,0,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_cc49.json,6,1,4,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_cc49.json,8,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_cc49.json,9,0,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_cc49.json,10,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_cc49.json,12,4,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,1,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,2,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,3,1,4,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,4,4,0,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,8,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,10,4,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,11,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_e85f.json,14,4,1,3
quantum_log_Cortex Creativus_act_nq4_20250418035753_c8d6.json,1,1,3,2
quantum_log_Cortex Creativus_act_nq4_20250418035753_c8d6.json,9,2,0,2
quantum_log_Cortex Creativus_act_nq4_20250418035753_c8d6.json,10,0,2,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_6457.json,5,3,1,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_6457.json,12,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_043d.json,5,1,4,3
quantum_log_Cortex Criticus_act_nq4_20250418035753_043d.json,6,4,2,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_043d.json,12,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035753_055d.json,4,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035753_055d.json,5,4,1,3
quantum_log_Limbus Affektus_act_nq4_20250418035753_055d.json,6,1,4,3
quantum_log_Limbus Affektus_act_nq4_20250418035753_055d.json,7,4,1,3
quantum_log_Limbus Affektus_act_nq4_20250418035753_055d.json,11,1,4,3
quantum_log_Limbus Affektus_act_nq4_20250418035753_055d.json,13,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035753_2615.json,6,2,0,2
quantum_log_Meta Cognitio_act_nq4_20250418035753_2615.json,7,0,2,2
quantum_log_Meta Cognitio_act_nq4_20250418035753_2615.json,12,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035753_907d.json,4,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035753_907d.json,5,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035753_907d.json,11,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035753_907d.json,12,1,4,3
quantum_log_Cortex Socialis_act_nq4_20250418035753_907d.json,13,4,1,3
quantum_log_Cortex Socialis_act_nq4_20250418035753_907d.json,14,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_a8c9.json,7,2,0,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_a8c9.json,8,0,4,4
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_a8c9.json,9,4,0,4
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_a8c9.json,10,0,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035753_a8c9.json,12,3,0,3
quantum_log_Ethik und Moral_act_nq4_20250418035753_3640.json,12,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_f85b.json,1,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_f85b.json,9,3,1,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_f85b.json,11,1,4,3
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035753_f85b.json,12,4,1,3
quantum_log_Governance und Politik_act_nq4_20250418035753_3516.json,2,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035753_3516.json,3,0,3,3
quantum_log_Governance und Politik_act_nq4_20250418035753_3516.json,6,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035753_3516.json,8,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035753_3516.json,9,0,2,2
quantum_log_Governance und Politik_act_nq4_20250418035753_3516.json,13,3,0,3
quantum_log_Governance und Politik_act_nq4_20250418035753_3516.json,14,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_3e5a.json,3,2,4,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_3e5a.json,4,4,1,3
quantum_log_Synergien und Integration_act_nq4_20250418035753_3e5a.json,10,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035753_3e5a.json,14,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035753_3dc7.json,2,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035753_3dc7.json,9,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035753_3dc7.json,13,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_ec60.json,3,1,4,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_ec60.json,6,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_ec60.json,7,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_ec60.json,9,4,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035753_ec60.json,12,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_5ed8.json,1,0,2,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_5ed8.json,3,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_5ed8.json,4,4,0,4
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_5ed8.json,6,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_5ed8.json,8,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035753_5ed8.json,13,2,0,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_3057.json,4,3,0,3
quantum_log_Cortex Criticus_act_nq4_20250418035753_7c33.json,1,2,4,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_7c33.json,2,4,1,3
quantum_log_Cortex Criticus_act_nq4_20250418035753_7c33.json,5,2,4,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_7c33.json,6,4,2,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_7c33.json,10,3,1,2
quantum_log_Cortex Criticus_act_nq4_20250418035753_7c33.json,11,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035754_cf3f.json,3,2,0,2
quantum_log_Limbus Affektus_act_nq4_20250418035754_cf3f.json,4,0,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035754_cf3f.json,9,3,1,2
quantum_log_Limbus Affektus_act_nq4_20250418035754_cf3f.json,14,2,0,2
quantum_log_Meta Cognitio_act_nq4_20250418035754_a21f.json,2,1,4,3
quantum_log_Meta Cognitio_act_nq4_20250418035754_a21f.json,3,4,1,3
quantum_log_Meta Cognitio_act_nq4_20250418035754_a21f.json,10,2,4,2
quantum_log_Meta Cognitio_act_nq4_20250418035754_a21f.json,12,3,1,2
quantum_log_Cortex Socialis_act_nq4_20250418035754_559a.json,1,0,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035754_559a.json,4,2,4,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_e2ff.json,4,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_e2ff.json,5,3,0,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_e2ff.json,10,0,3,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_e2ff.json,11,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_e2ff.json,12,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_4a8f.json,1,4,2,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_4a8f.json,5,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_4a8f.json,6,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_4a8f.json,7,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035754_5ed0.json,3,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035754_5ed0.json,10,1,3,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035754_5ed0.json,11,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035754_df60.json,5,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035754_df60.json,7,2,0,2
quantum_log_Governance und Politik_act_nq4_20250418035754_df60.json,8,0,3,3
quantum_log_Governance und Politik_act_nq4_20250418035754_df60.json,10,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035754_831d.json,6,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035754_831d.json,7,0,2,2
quantum_log_Technologie und Innovation_act_nq4_20250418035754_876c.json,3,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035754_876c.json,6,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035754_876c.json,7,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035754_876c.json,8,0,2,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_c895.json,2,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_c895.json,6,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_c895.json,7,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_c895.json,10,3,0,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_c895.json,11,0,3,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_c895.json,14,3,1,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035754_b33d.json,1,1,3,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035754_b33d.json,3,2,4,2
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035754_b33d.json,4,4,1,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035754_b33d.json,11,3,0,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035754_b33d.json,12,0,3,3
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035754_b33d.json,13,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035754_b089.json,2,3,1,2
quantum_log_Cortex Creativus_act_nq4_20250418035754_b089.json,8,2,0,2
quantum_log_Cortex Creativus_act_nq4_20250418035754_b089.json,9,0,2,2
quantum_log_Cortex Criticus_act_nq4_20250418035754_2442.json,11,1,4,3
quantum_log_Cortex Criticus_act_nq4_20250418035754_2442.json,12,4,1,3
quantum_log_Limbus Affektus_act_nq4_20250418035754_e358.json,9,2,4,2
quantum_log_Limbus Affektus_act_nq4_20250418035754_e358.json,10,4,1,3
quantum_log_Limbus Affektus_act_nq4_20250418035754_e358.json,11,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035754_1e8a.json,6,2,0,2
quantum_log_Meta Cognitio_act_nq4_20250418035754_1e8a.json,8,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035754_1e8a.json,9,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035754_1e8a.json,11,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035754_b016.json,9,4,1,3
quantum_log_Cortex Socialis_act_nq4_20250418035754_b016.json,10,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_0572.json,3,1,4,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_0572.json,5,4,2,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_0572.json,8,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_0572.json,9,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_0572.json,11,4,1,3
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035754_0572.json,14,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_2129.json,1,2,0,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_2129.json,4,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_2129.json,10,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_2129.json,11,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035754_ea21.json,1,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035754_ea21.json,4,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035754_ea21.json,8,2,4,2
quantum_log_Governance und Politik_act_nq4_20250418035754_ea21.json,9,4,0,4
quantum_log_Governance und Politik_act_nq4_20250418035754_ea21.json,14,0,3,3
quantum_log_Synergien und Integration_act_nq4_20250418035754_cb7c.json,5,3,1,2
quantum_log_Synergien und Integration_act_nq4_20250418035754_cb7c.json,6,1,3,2
quantum_log_Synergien und Integration_act_nq4_20250418035754_cb7c.json,8,2,0,2
quantum_log_Synergien und Integration_act_nq4_20250418035754_cb7c.json,9,0,2,2
quantum_log_Synergien und Integration_act_nq4_20250418035754_cb7c.json,13,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035754_efc0.json,2,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035754_efc0.json,3,3,1,2
quantum_log_Technologie und Innovation_act_nq4_20250418035754_efc0.json,4,1,3,2
quantum_log_Technologie und Innovation_act_nq4_20250418035754_efc0.json,6,3,0,3
quantum_log_Technologie und Innovation_act_nq4_20250418035754_efc0.json,7,0,3,3
quantum_log_Technologie und Innovation_act_nq4_20250418035754_efc0.json,9,4,1,3
quantum_log_Technologie und Innovation_act_nq4_20250418035754_efc0.json,12,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_3f9f.json,1,2,4,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_3f9f.json,2,4,1,3
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_3f9f.json,3,1,3,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_3f9f.json,4,3,1,2
quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035754_3f9f.json,5,1,4,3
